title,author,isbn,price,cartoonCharacter,general
Dodge,Tova,1,15,Pascale,Cletis
Chevrolet,Clemens,2,30,Bobby,Pyotr
Audi,Berthe,3,81,Griz,Siegfried
Mazda,Corbin,4,3,Worthington,Tabor
Chevrolet,Harriott,5,43,Flossie,Cletus
Pontiac,Domini,6,13,Mersey,Iver
BMW,Vina,7,88,Erhard,Casar
Pontiac,Althea,8,89,Melloney,Ellery
Chevrolet,Jereme,9,85,Waldon,Edsel
BMW,Cleve,10,42,Korie,Cal
BMW,Anastassia,11,90,Chloris,Shannan
Lincoln,Ossie,12,44,Roseanna,Antonino
Chevrolet,Tara,13,81,Concettina,Weber
Mitsubishi,Herve,14,62,Adelbert,Judas
Lexus,Hayley,15,17,Persis,Herve
BMW,Tiebout,16,29,Jamima,Jarrod
Acura,Ellwood,17,42,Ame,Trev
Honda,Jay,18,72,Norina,Clair
Hyundai,Eloisa,19,84,Yovonnda,Vittorio
Chevrolet,Brennen,20,39,Winfield,Boyce
Acura,Thadeus,21,44,Guglielmo,Augustine
Nissan,Keenan,22,45,Keely,Raymund
Dodge,Timmie,23,64,Maryjane,Hugo
Chevrolet,Micky,24,7,Nathalie,Boycie
Kia,Valida,25,94,Yalonda,Haywood
Mercedes-Benz,Fina,26,54,Barbe,Niccolo
Chevrolet,Kikelia,27,46,Rolfe,Marsh
Toyota,Flora,28,78,Nadean,Elwin
BMW,Donal,29,72,Palmer,Paquito
Toyota,Clo,30,83,Petronella,Prentice
Honda,Alisha,31,74,Rodolph,Huntlee
Mitsubishi,Carlee,32,80,Thacher,Khalil
Dodge,Bessy,33,92,Roth,Fleming
GMC,Salvatore,34,84,Peria,Hernando
Scion,Javier,35,39,Lucila,Petr
Oldsmobile,Deanna,36,81,Karita,Robers
Ford,Lane,37,5,Sansone,Hamlin
Chrysler,Vick,38,90,Terry,Erek
Audi,Kaia,39,28,Rosa,Stanleigh
Mazda,Hewe,40,53,Enrichetta,Esme
Acura,Maxwell,41,85,Amye,Gilburt
Cadillac,Vasilis,42,91,Eunice,Irvine
Honda,Corrina,43,55,Spense,Jehu
Acura,Sax,44,31,Mendel,Lanny
Nissan,Marjie,45,6,Saunder,Stanly
Mitsubishi,Tallie,46,85,Arturo,Gardiner
Mazda,Sigfried,47,84,Wang,Nehemiah
Chevrolet,Catharine,48,6,Warden,Kingsly
Acura,Babbette,49,77,Tamra,Vittorio
GMC,Valentino,50,77,Christoforo,Galven
Lotus,Ignatius,51,30,Whittaker,Godart
Land Rover,Burtie,52,18,Wendell,Trace
Ford,Egon,53,75,Leland,Reggie
Chevrolet,Herman,54,27,Audie,Yale
Lexus,Florette,55,76,Fina,Cornie
Buick,Gussy,56,94,Fairlie,Kelwin
Mercury,Adrian,57,60,Cleveland,Claire
Mazda,Lynelle,58,41,Dev,Pebrook
Chevrolet,Fair,59,71,Katharyn,Humfried
Aston Martin,Hamlen,60,66,Jenda,Bancroft
Hyundai,Padraig,61,27,Cordy,Aldon
Ford,Deane,62,57,Torrance,Garry
Nissan,Raynell,63,22,Bendick,Anders
Chevrolet,Analise,64,34,Dillie,Wain
Lexus,Cassey,65,17,Rafferty,Olenolin
Pontiac,Gallard,66,49,Trudy,Orrin
Pontiac,Sella,67,93,Clio,Karlis
GMC,Giffer,68,33,Thebault,Pate
Cadillac,Crystie,69,73,Marline,Emmerich
Lincoln,Manya,70,40,Rabbi,Allard
Toyota,Whitney,71,14,Noam,Reggie
Dodge,Wendell,72,97,Dunn,Hanson
Suzuki,Donelle,73,81,Clarie,Wit
Toyota,Clio,74,14,Jareb,Jeff
Subaru,Diann,75,28,Evelyn,Hobart
Ford,Carolynn,76,78,Feliza,Whit
Lexus,Drusy,77,74,Liz,Hilarius
Kia,Nichol,78,81,Kit,Kurt
Subaru,Agustin,79,99,Kennedy,Patin
Toyota,Issie,80,11,Corby,Whit
Ford,Lilah,81,75,Gisella,Porty
Audi,Annie,82,72,Kylynn,Shell
Buick,Melvin,83,22,Ara,Swen
Ford,Sigismundo,84,99,Nell,Mendel
Hyundai,Biron,85,49,Rayshell,Chadwick
Pontiac,Cameron,86,99,Morgan,Cobb
Hyundai,Prince,87,62,Taylor,Geoffrey
BMW,Penny,88,83,Irving,Kendall
Acura,Francis,89,35,Aland,Baily
Oldsmobile,Rancell,90,53,Gradey,Bertram
Toyota,Berty,91,64,Nathaniel,Frankie
Subaru,Sada,92,32,Yetty,Vin
BMW,Tully,93,23,Leigh,Casey
Volvo,Erda,94,75,Everard,Leroy
Volkswagen,Robby,95,90,Lulu,Humfried
Jaguar,Eva,96,66,Yoko,Tim
Mazda,Annemarie,97,82,Christoforo,Rooney
Dodge,Mathew,98,68,Smitty,Gary
Acura,Andria,99,76,Ingrid,Aron
Mercedes-Benz,Pavlov,100,51,Llewellyn,Bartram
